ScanCode,Access,Description,Instruments
HIGH_STVOLUME_10MIN,unrestricted,High 10min Volume,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUT.US,FUT.NA,FUT.EU,FUT.HK,SSF.US,SSF.NA,SSF.EU,SSF.HK"
TOP_OPEN_PERC_GAIN,allowed,Top % Gainers Since Open,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUT.US,FUT.NA,FUT.EU,FUT.HK"
TOP_OPEN_PERC_LOSE,allowed,Top % Losers Since Open,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUT.US,FUT.NA,FUT.EU,FUT.HK"
HIGH_OPEN_GAP,allowed,Top Close-to-Open % Gainers,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUT.US,FUT.NA,FUT.EU,FUT.HK"
LOW_OPEN_GAP,allowed,Top Close-to-Open % Losers,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUT.US,FUT.NA,FUT.EU,FUT.HK"
TOP_AFTER_HOURS_PERC_GAIN,allowed,Top % After-Hours Gainers,"STK,ETF.EQ.US,ETF.FI.US"
TOP_AFTER_HOURS_PERC_LOSE,allowed,Top % After-Hours Losers,"STK,ETF.EQ.US,ETF.FI.US"
HIGH_OPT_IMP_VOLAT,allowed,Highest Option Imp Vol,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,IND.US,IND.EU,IND.HK"
LOW_OPT_IMP_VOLAT,allowed,Lowest Option Imp Vol,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,IND.US,IND.EU,IND.HK"
TOP_OPT_IMP_VOLAT_GAIN,allowed,Top Option Imp Vol % Gainers,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,IND.US,IND.EU,IND.HK"
TOP_OPT_IMP_VOLAT_LOSE,allowed,Top Option Imp Vol % Losers,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,IND.US,IND.EU,IND.HK"
HIGH_OPT_IMP_VOLAT_OVER_HIST,allowed,High Option Imp Vol Over Historical,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,IND.US,IND.EU,IND.HK"
