date,open,high,low,close,volume,average,barCount
2026-04-16 09:36:00-04:00,25.55,25.56,25.55,25.55,100.0,25.555,1
2026-04-16 09:37:00-04:00,25.55,25.55,25.55,25.55,200.0,25.55,1
2026-04-16 09:38:00-04:00,25.55,25.55,25.55,25.55,0.0,25.55,0
2026-04-16 09:39:00-04:00,25.55,25.55,25.55,25.55,0.0,25.55,0
2026-04-16 09:40:00-04:00,25.55,25.55,25.55,25.55,0.0,25.55,0
2026-04-16 09:41:00-04:00,25.55,25.55,25.55,25.55,0.0,25.55,0
2026-04-16 09:42:00-04:00,25.55,25.55,25.55,25.55,0.0,25.55,0
2026-04-16 09:43:00-04:00,25.55,25.55,25.55,25.55,0.0,25.55,0
2026-04-16 09:44:00-04:00,25.49,25.56,25.47,25.47,2004.0,25.5,14
2026-04-16 09:45:00-04:00,25.52,25.52,25.51,25.52,784.0,25.52,4
2026-04-16 09:46:00-04:00,25.52,25.52,25.52,25.52,0.0,25.52,0
2026-04-16 09:47:00-04:00,25.52,25.52,25.52,25.52,0.0,25.52,0
2026-04-16 09:48:00-04:00,25.52,25.52,25.52,25.52,0.0,25.52,0
2026-04-16 09:49:00-04:00,25.52,25.52,25.52,25.52,0.0,25.52,0
2026-04-16 09:50:00-04:00,25.46,25.47,25.46,25.47,300.0,25.467,3
2026-04-16 09:51:00-04:00,25.47,25.47,25.47,25.47,0.0,25.47,0
2026-04-16 09:52:00-04:00,25.47,25.47,25.47,25.47,0.0,25.47,0
2026-04-16 09:53:00-04:00,25.45,25.45,25.45,25.45,100.0,25.45,1
2026-04-16 09:54:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 09:55:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 09:56:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 09:57:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 09:58:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 09:59:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 10:00:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 10:01:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 10:02:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 10:03:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 10:04:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
2026-04-16 10:05:00-04:00,25.45,25.45,25.45,25.45,0.0,25.45,0
